index,datetime,city,state,country,latitude,longitude ,mintemp,maxtemp,avgtemp,totalsnow,sunhour
2651,10/15/2011 18:00,eugene,or,us,44.0522222,-123.0855556,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2652,10/15/2011 19:00,columbia,sc,us,34.0005556,-81.035,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2653,10/15/2011 19:00,toney,al,us,34.8980556,-86.7336111,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2654,10/15/2011 19:20,lancaster,pa,us,40.0377778,-76.3058333,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2655,10/15/2011 19:30,fresno,ca,us,36.7477778,-119.7713889,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2656,10/15/2011 20:00,grand junction,co,us,39.0638889,-108.55,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2657,10/15/2011 20:05,muscatine,ia,us,41.4244444,-91.0430556,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2658,10/15/2011 20:29,douglas,ga,us,31.5086111,-82.85,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2659,10/15/2011 20:30,absecon,nj,us,39.4283333,-74.4961111,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2660,10/15/2011 20:30,anson,tx,us,32.7563889,-99.8958333,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2661,10/15/2011 21:20,buckeye,az,us,33.3702778,-112.5830556,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2662,10/15/2011 21:30,glendora,ca,us,34.1361111,-117.8644444,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2663,10/15/2011 21:49,sugar grove,il,us,41.7613889,-88.4436111,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2664,10/15/2011 22:00,salt lake city,ut,us,40.7608333,-111.8902778,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2665,10/15/2011 23:00,st. louis,mo,us,38.6272222,-90.1977778,10.91304347826087,21.08695652173913,15.521739130434783,0.0,10.673913043478262
2666,10/15/2012 00:15,towson,md,us,39.4013889,-76.6022222,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2667,10/15/2012 00:30,hartland,wi,us,43.105,-88.3419444,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2668,10/15/2012 01:00,boise,id,us,43.6136111,-116.2025,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
2669,10/15/2012 02:30,bonney lake,wa,us,47.1772222,-122.1852778,9.642857142857142,19.857142857142858,14.571428571428571,0.0,10.635714285714286
